TStates,Addr,WStates,OpType,IStates
1721,0x4E04, ,WN,1
1722,0x4E04, ,WN,1
1723,0x4E04, ,WN,1
1724,0x4E04, ,WN,1
1725,0x4E04, ,WN,1
1726,0x4E04, ,WN,1
1727,0x4E04, ,WN,1
1728,0x87AB, ,RR,4
1732,0x87AC, ,RR,4
1742,0x4E05, ,WN,1
1743,0x4E05, ,WN,1
1744,0x4E05, ,WN,1
1745,0x4E05, ,WN,1
1746,0x4E05, ,WN,1
1747,0x4E05, ,WN,1
1748,0x4E05, ,WN,1
1749,0x87AB, ,RR,4
1753,0x87AC, ,RR,4
1763,0x4E06, ,WN,1
1764,0x4E06, ,WN,1
1765,0x4E06, ,WN,1
1766,0x4E06, ,WN,1
1767,0x4E06, ,WN,1
1768,0x4E06, ,WN,1
1769,0x4E06, ,WN,1
1770,0x87AB, ,RR,4
1774,0x87AC, ,RR,4
1784,0x4E07, ,WN,1
1785,0x4E07, ,WN,1
1786,0x4E07, ,WN,1
1787,0x4E07, ,WN,1
1788,0x4E07, ,WN,1
1789,0x4E07, ,WN,1
1790,0x4E07, ,WN,1
1791,0x87AB, ,RR,4
1795,0x87AC, ,RR,4
1805,0x4E08, ,WN,1
1806,0x4E08, ,WN,1
1807,0x4E08, ,WN,1
1808,0x4E08, ,WN,1
1809,0x4E08, ,WN,1
1810,0x4E08, ,WN,1
1811,0x4E08, ,WN,1
1812,0x87AB, ,RR,4
1816,0x87AC, ,RR,4
1826,0x4E09, ,WN,1
1827,0x4E09, ,WN,1
1828,0x4E09, ,WN,1
1829,0x4E09, ,WN,1
1830,0x4E09, ,WN,1
1831,0x4E09, ,WN,1
1832,0x4E09, ,WN,1
1833,0x87AB, ,RR,4
1837,0x87AC, ,RR,4
1847,0x4E0A, ,WN,1
1848,0x4E0A, ,WN,1
1849,0x4E0A, ,WN,1
1850,0x4E0A, ,WN,1
1851,0x4E0A, ,WN,1
1852,0x4E0A, ,WN,1
1853,0x4E0A, ,WN,1
1854,0x87AB, ,RR,4
1858,0x87AC, ,RR,4
1868,0x4E0B, ,WN,1
1869,0x4E0B, ,WN,1
1870,0x4E0B, ,WN,1
1871,0x4E0B, ,WN,1
1872,0x4E0B, ,WN,1
1873,0x4E0B, ,WN,1
1874,0x4E0B, ,WN,1
1875,0x87AB, ,RR,4
1879,0x87AC, ,RR,4
1889,0x4E0C, ,WN,1
1890,0x4E0C, ,WN,1
1891,0x4E0C, ,WN,1
1892,0x4E0C, ,WN,1
1893,0x4E0C, ,WN,1
1894,0x4E0C, ,WN,1
1895,0x4E0C, ,WN,1
1896,0x87AB, ,RR,4
1900,0x87AC, ,RR,4
1910,0x4E0D, ,WN,1
1911,0x4E0D, ,WN,1
1912,0x4E0D, ,WN,1
1913,0x4E0D, ,WN,1
1914,0x4E0D, ,WN,1
1915,0x4E0D, ,WN,1
1916,0x4E0D, ,WN,1
1917,0x87AB, ,RR,4
1921,0x87AC, ,RR,4
1931,0x4E0E, ,WN,1
1932,0x4E0E, ,WN,1
1933,0x4E0E, ,WN,1
1934,0x4E0E, ,WN,1
1935,0x4E0E, ,WN,1
1936,0x4E0E, ,WN,1
1937,0x4E0E, ,WN,1
1938,0x87AB, ,RR,4
1942,0x87AC, ,RR,4
1952,0x4E0F, ,WN,1
1953,0x4E0F, ,WN,1
1954,0x4E0F, ,WN,1
1955,0x4E0F, ,WN,1
1956,0x4E0F, ,WN,1
1957,0x4E0F, ,WN,1
1958,0x4E0F, ,WN,1
1959,0x87AB, ,RR,4
1963,0x87AC, ,RR,4
1973,0x4E10, ,WN,1
1974,0x4E10, ,WN,1
1975,0x4E10, ,WN,1
1976,0x4E10, ,WN,1
1977,0x4E10, ,WN,1
1978,0x4E10, ,WN,1
1979,0x4E10, ,WN,1
1980,0x87AB, ,RR,4
1984,0x87AC, ,RR,4
1994,0x4E11, ,WN,1
1995,0x4E11, ,WN,1
